auction_id	auction_description	round	item_name	item_description	pwb_amount	net_pwb_amount	pw_bidder	round_of_pwb	previous_pw_bidder	round_of_previous_pwb	previous_pwb_amount	previous_net_pwb_amount
73	700 MHz Band	261	WY-CMA124-B	Santa Barbara, CA	12251000.00	12251000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	24	11667000.00	 	
73	700 MHz Band	261	WY-CMA125-B	Appleton-Oskosh-Neenah, WI	6908000.00	6908000.00	AT&T Mobility Spectrum, LLC	37	King Street Wireless, L.P.	23	6773000.00	 	
73	700 MHz Band	261	WY-CMA126-B	Salinas-Seaside-Monterey, CA	4963000.00	4963000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	22	4727000.00	 	
73	700 MHz Band	261	WY-CMA127-B	Pensacola, FL	19446000.00	19446000.00	AT&T Mobility Spectrum, LLC	69	Cox Wireless, Inc.	68	18798000.00	 	
73	700 MHz Band	261	WY-CMA128-B	McAllen-Edinburg-Mission, TX	8342000.00	8342000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	22	7945000.00	 	
73	700 MHz Band	261	WY-CMA129-B	South Bend-Mishawaka, IN	2200000.00	2200000.00	AT&T Mobility Spectrum, LLC	34	King Street Wireless, L.P.	33	2000000.00	 	
73	700 MHz Band	261	WY-CMA130-B	Erie, PA	224000.00	168000.00	Triad 700, LLC	90	Miller, David	89	217000.00	 	
73	700 MHz Band	261	WY-CMA131-B	Rockford, IL	2407000.00	2407000.00	AT&T Mobility Spectrum, LLC	33	King Street Wireless, L.P.	32	2197000.00	 	
73	700 MHz Band	261	WY-CMA132-B	Kalamazoo, MI	3631000.00	3631000.00	AT&T Mobility Spectrum, LLC	21	Alltel Corporation	20	3283000.00	 	
73	700 MHz Band	261	WY-CMA133-B	Manchester-Nashua, NH	7911000.00	7911000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	21	7534000.00	 	
73	700 MHz Band	261	WY-CMA134-B	Atlantic City, NJ	2520000.00	2520000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	24	2390000.00	 	
73	700 MHz Band	261	WY-CMA135-B	Eugene-Springfield, OR	1978000.00	1978000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	1776000.00	 	
73	700 MHz Band	261	WY-CMA136-B	Lorain-Elyria, OH	408000.00	408000.00	CenturyTel Broadband Wireless LLC	26	Cavalier Wireless, LLC	25	343000.00	 	
73	700 MHz Band	261	WY-CMA137-B	Melbourne-Titusville, FL	12615000.00	12615000.00	AT&T Mobility Spectrum, LLC	38	Cellco Partnership d/b/a Verizon Wireless	21	12368000.00	 	
73	700 MHz Band	261	WY-CMA138-B	Macon-Warner Robins, GA	7171000.00	7171000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	6493000.00	 	
73	700 MHz Band	261	WY-CMA139-B	Montgomery, AL	3930000.00	3930000.00	AT&T Mobility Spectrum, LLC	41	Cellular South Licenses, Inc.	40	3801000.00	 	
73	700 MHz Band	261	WY-CMA140-B	Charleston, WV	661000.00	495750.00	King Street Wireless, L.P.	23	SAL Spectrum, LLC	22	607000.00	 	
73	700 MHz Band	261	WY-CMA141-B	Duluth, MN-WI	1607000.00	1607000.00	AT&T Mobility Spectrum, LLC	14	CenturyTel Broadband Wireless LLC	13	1339000.00	 	
73	700 MHz Band	261	WY-CMA142-B	Modesto, CA	12193000.00	12193000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	21	11612000.00	 	
73	700 MHz Band	261	WY-CMA143-B	Johnstown, PA	158000.00	118500.00	Miller, David	51	Buffalo-Lake Erie Wireless Systems Co., L.L.C.	43	155000.00	 	
73	700 MHz Band	261	WY-CMA144-B	Orange County, NY	1831000.00	1831000.00	AT&T Mobility Spectrum, LLC	83	Cavalier Wireless, LLC	82	1761000.00	 	
73	700 MHz Band	261	WY-CMA145-B	Hamilton-Middletown, OH	866000.00	866000.00	AT&T Mobility Spectrum, LLC	51	Cincinnati Bell Wireless LLC	50	833000.00	 	
73	700 MHz Band	261	WY-CMA146-B	Daytona Beach, FL	16553000.00	16553000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	15048000.00	 	
73	700 MHz Band	261	WY-CMA147-B	Ponce, PR	590000.00	442500.00	VentureTel 700, Inc.	76	Puerto Rico Telephone Company, Inc.	75	567000.00	 	
73	700 MHz Band	261	WY-CMA148-B	Salem, OR	1161000.00	1161000.00	AT&T Mobility Spectrum, LLC	28	Cellco Partnership d/b/a Verizon Wireless	19	1106000.00	 	
73	700 MHz Band	261	WY-CMA149-B	Fayetteville, NC	5351000.00	4013250.00	King Street Wireless, L.P.	90	AT&T Mobility Spectrum, LLC	89	5175000.00	 	
73	700 MHz Band	261	WY-CMA150-B	Visalia-Tulare-Porterville, CA	4408000.00	4408000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	24	4198000.00	 	
73	700 MHz Band	261	WY-CMA151-B	Poughkeepsie, NY	674000.00	505500.00	PCS Partners, L.P.	29	Cellco Partnership d/b/a Verizon Wireless	26	639000.00	 	
73	700 MHz Band	261	WY-CMA152-B	Portland, ME	1662000.00	1662000.00	AT&T Mobility Spectrum, LLC	16	King Street Wireless, L.P.	15	1385000.00	 	
73	700 MHz Band	261	WY-CMA153-B	Columbus, GA-AL	826000.00	826000.00	Cellco Partnership d/b/a Verizon Wireless	22	CenturyTel Broadband Wireless LLC	21	688000.00	 	
73	700 MHz Band	261	WY-CMA154-B	New London-Norwich, CT	717000.00	537750.00	Triad 700, LLC	85	Cavalier Wireless, LLC	84	689000.00	 	
73	700 MHz Band	261	WY-CMA155-B	Savannah, GA	9064000.00	9064000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	8239000.00	 	
73	700 MHz Band	261	WY-CMA156-B	Portsmouth-Rochester, NH-ME	2099000.00	2099000.00	AT&T Mobility Spectrum, LLC	23	King Street Wireless, L.P.	22	1908000.00	 	
73	700 MHz Band	261	WY-CMA157-B	Roanoke, VA	2339000.00	2339000.00	Cox Wireless, Inc.	21	AT&T Mobility Spectrum, LLC	20	2138000.00	 	
73	700 MHz Band	261	WY-CMA158-B	Lima, OH	659000.00	494250.00	Triad 700, LLC	110	PCS Partners, L.P.	109	634000.00	 	
73	700 MHz Band	261	WY-CMA159-B	Provo-Orem, UT	6032000.00	6032000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	5484000.00	 	
73	700 MHz Band	261	WY-CMA160-B	Killeen-Temple, TX	4324000.00	4324000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	22	4118000.00	 	
73	700 MHz Band	261	WY-CMA161-B	Lubbock, TX	714000.00	714000.00	Cellco Partnership d/b/a Verizon Wireless	24	Alltel Corporation	19	680000.00	 	
73	700 MHz Band	261	WY-CMA162-B	Brownsville-Harlingen, TX	2568000.00	2568000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	21	2446000.00	 	
73	700 MHz Band	261	WY-CMA163-B	Springfield, MO	9274000.00	9274000.00	AT&T Mobility Spectrum, LLC	89	King Street Wireless, L.P.	88	8917000.00	 	
73	700 MHz Band	261	WY-CMA164-B	Fort Myers, FL	12635000.00	12635000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	11486000.00	 	
73	700 MHz Band	261	WY-CMA165-B	Fort Smith AR-OK	5789000.00	5789000.00	Cox Wireless, Inc.	103	Cross Telephone Company, LLC	102	5589000.00	 	
73	700 MHz Band	261	WY-CMA166-B	Hickory, NC	889000.00	666750.00	Cavalier Wireless, LLC	25	King Street Wireless, L.P.	24	807000.00	 	
73	700 MHz Band	261	WY-CMA167-B	Sarasota, FL	3171000.00	3171000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	2844000.00	 	
73	700 MHz Band	261	WY-CMA168-B	Tallahassee, FL	9312000.00	9312000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	8464000.00	 	
73	700 MHz Band	261	WY-CMA169-B	Mayaguez, PR	547000.00	410250.00	VentureTel 700, Inc.	98	Puerto Rico Telephone Company, Inc.	97	526000.00	 	
73	700 MHz Band	261	WY-CMA170-B	Galveston-Texas City, TX	930000.00	697500.00	Triad 700, LLC	31	Cellco Partnership d/b/a Verizon Wireless	26	885000.00	 	
73	700 MHz Band	261	WY-CMA171-B	Reno, NV	2689000.00	2689000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	26	2560000.00	 	
73	700 MHz Band	261	WY-CMA172-B	Lincoln, NE	1770000.00	1327500.00	Cable Montana LLC	28	King Street Wireless, L.P.	27	1546000.00	 	
73	700 MHz Band	261	WY-CMA173-B	Biloxi-Gulfport, MS	4503000.00	4503000.00	AT&T Mobility Spectrum, LLC	75	Cellular South Licenses, Inc.	73	4397000.00	 	
73	700 MHz Band	261	WY-CMA174-B	Lafayette, LA	2965000.00	2965000.00	Cox Wireless, Inc.	32	CenturyTel Broadband Wireless LLC	21	2824000.00	 	
73	700 MHz Band	261	WY-CMA175-B	Santa Cruz, CA	989000.00	741750.00	Triad 700, LLC	52	Cavalier Wireless, LLC	26	970000.00	 	
73	700 MHz Band	261	WY-CMA176-B	Springfield, IL	1618000.00	1213500.00	King Street Wireless, L.P.	18	CenturyTel Broadband Wireless LLC	17	1348000.00	 	
73	700 MHz Band	261	WY-CMA177-B	Battle Creek, MI	375000.00	318750.00	Agri-Valley Communications, Inc.	129	PCS Partners, L.P.	128	361000.00	 	
73	700 MHz Band	261	WY-CMA178-B	Wheeling, WV-OH	159000.00	119250.00	GreenFly LLC	57	AWS Spectrum, LLC	56	153000.00	 	
73	700 MHz Band	261	WY-CMA179-B	Topeka, KS	1895000.00	1421250.00	King Street Wireless, L.P.	19	AT&T Mobility Spectrum, LLC	18	1648000.00	 	
73	700 MHz Band	261	WY-CMA180-B	Springfield, OH	297000.00	222750.00	Cavalier Wireless, LLC	26	Gold Radio Group, LLC	25	270000.00	 	
73	700 MHz Band	261	WY-CMA181-B	Muskegon, MI	339000.00	288150.00	Agri-Valley Communications, Inc.	35	Cavalier Wireless, LLC	22	332000.00	 	
73	700 MHz Band	261	WY-CMA182-B	Fayetteville-Springdale, AR	5789000.00	5789000.00	AT&T Mobility Spectrum, LLC	23	CenturyTel Broadband Wireless LLC	22	4980000.00	 	
73	700 MHz Band	261	WY-CMA183-B	Asheville, NC	712000.00	534000.00	King Street Wireless, L.P.	21	Cavalier Wireless, LLC	20	627000.00	 	
73	700 MHz Band	261	WY-CMA184-B	Houma-Thibodaux, LA	113000.00	84750.00	maxima international llc	48	Xanadoo 700 MHz DE, LLC	47	109000.00	 	
73	700 MHz Band	261	WY-CMA185-B	Terre Haute, IN	665000.00	665000.00	I-700, LLC	88	King Street Wireless, L.P.	87	639000.00	 	
73	700 MHz Band	261	WY-CMA186-B	Green Bay, WI	3752000.00	2814000.00	King Street Wireless, L.P.	22	CenturyTel Broadband Wireless LLC	21	3404000.00	 	
73	700 MHz Band	261	WY-CMA187-B	Anchorage, AK	1383000.00	1383000.00	AT&T Mobility Spectrum, LLC	97	MTA Communications, Inc.	96	1338000.00	 	
73	700 MHz Band	261	WY-CMA188-B	Amarillo, TX	765000.00	765000.00	Cellco Partnership d/b/a Verizon Wireless	24	Alltel Corporation	18	728000.00	 	
73	700 MHz Band	261	WY-CMA189-B	Racine, WI	2990000.00	2242500.00	King Street Wireless, L.P.	27	Cellco Partnership d/b/a Verizon Wireless	26	2718000.00	 	
73	700 MHz Band	261	WY-CMA190-B	Boise City, ID	3609000.00	3609000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	3281000.00	 	
73	700 MHz Band	261	WY-CMA191-B	Yakima, WA	1866000.00	1866000.00	Cellco Partnership d/b/a Verizon Wireless	24	AT&T Mobility Spectrum, LLC	18	1777000.00	 	
73	700 MHz Band	261	WY-CMA192-B	Gainesville, FL	8069000.00	8069000.00	Cox Wireless, Inc.	91	Cellco Partnership d/b/a Verizon Wireless	25	7911000.00	 	
73	700 MHz Band	261	WY-CMA193-B	Benton Harbor, MI	423000.00	317250.00	King Street Wireless, L.P.	111	Agri-Valley Communications, Inc.	110	407000.00	 	
73	700 MHz Band	261	WY-CMA194-B	Waco, TX	951000.00	951000.00	Cellco Partnership d/b/a Verizon Wireless	25	MetroPCS 700 MHz, LLC	24	875000.00	 	
73	700 MHz Band	261	WY-CMA195-B	Cedar Rapids, IA	3047000.00	2285250.00	King Street Wireless, L.P.	21	AT&T Mobility Spectrum, LLC	20	2767000.00	 	
73	700 MHz Band	261	WY-CMA196-B	Champaign-Urbana-Rantoul, IL	819000.00	819000.00	I-700, LLC	52	King Street Wireless, L.P.	26	803000.00	 	
73	700 MHz Band	261	WY-CMA197-B	Lake Charles, LA	3885000.00	3885000.00	Cellco Partnership d/b/a Verizon Wireless	24	CenturyTel Broadband Wireless LLC	19	3699000.00	 	
73	700 MHz Band	261	WY-CMA198-B	St. Cloud, MN	8055000.00	8055000.00	Wireless Communications Venture	38	AT&T Mobility Spectrum, LLC	36	7855000.00	 	
73	700 MHz Band	261	WY-CMA199-B	Steubenville-Weirton, OH-WV	58000.00	43500.00	Triad 700, LLC	235	FCC	0	0	0	
73	700 MHz Band	261	WY-CMA200-B	Parkersburg-Marietta, OH-WV	365000.00	273750.00	King Street Wireless, L.P.	23	SAL Spectrum, LLC	22	325000.00	 	
73	700 MHz Band	261	WY-CMA201-B	Waterloo-Cedar Falls, IA	1827000.00	1370250.00	King Street Wireless, L.P.	23	Iowa Telecommunications Services, Inc.	22	1639000.00	 	
73	700 MHz Band	261	WY-CMA202-B	Arecibo, PR	401000.00	300750.00	VentureTel 700, Inc.	98	Puerto Rico Telephone Company, Inc.	97	386000.00	 	
73	700 MHz Band	261	WY-CMA203-B	Lynchburg, VA	428000.00	321000.00	King Street Wireless, L.P.	29	Cavalier Wireless, LLC	28	389000.00	 	
73	700 MHz Band	261	WY-CMA204-B	Aguadilla, PR	204000.00	153000.00	VentureTel 700, Inc.	112	Worldcall Inc.	111	196000.00	 	
73	700 MHz Band	261	WY-CMA205-B	Alexandria, LA	1714000.00	1714000.00	Cellco Partnership d/b/a Verizon Wireless	24	CenturyTel Broadband Wireless LLC	21	1620000.00	 	
73	700 MHz Band	261	WY-CMA206-B	Longview-Marshall, TX	1062000.00	1062000.00	Cellco Partnership d/b/a Verizon Wireless	21	Alltel Corporation	19	995000.00	 	
73	700 MHz Band	261	WY-CMA207-B	Jackson, MI	197000.00	147750.00	PCS Partners, L.P.	179	I-700, LLC	178	190000.00	 	
73	700 MHz Band	261	WY-CMA208-B	Fort Pierce, FL	2301000.00	2301000.00	AT&T Mobility Spectrum, LLC	81	Triad 700, LLC	80	2214000.00	 	
73	700 MHz Band	261	WY-CMA209-B	Clarksville-Hopkinsville TN-KY	881000.00	881000.00	Bluegrass Wireless LLC	29	Cavalier Wireless, LLC	28	801000.00	 	
73	700 MHz Band	261	WY-CMA210-B	Fort Collins-Loveland, CO	2076000.00	2076000.00	Cellco Partnership d/b/a Verizon Wireless	25	Cable Montana LLC	24	1782000.00	 	
73	700 MHz Band	261	WY-CMA211-B	Bradenton, FL	1780000.00	1780000.00	Cellco Partnership d/b/a Verizon Wireless	24	MetroPCS 700 MHz, LLC	23	1620000.00	 	
73	700 MHz Band	261	WY-CMA212-B	Bremerton, WA	1902000.00	1616700.00	Whidbey Telephone Company	35	Cellco Partnership d/b/a Verizon Wireless	18	1865000.00	 	
73	700 MHz Band	261	WY-CMA213-B	Pittsfield, MA	170000.00	127500.00	Triad 700, LLC	114	Worldcall Inc.	113	164000.00	 	
73	700 MHz Band	261	WY-CMA214-B	Richland-Kennewick-Pasco, WA	1129000.00	959650.00	Whidbey Telephone Company	27	Cellco Partnership d/b/a Verizon Wireless	26	1028000.00	 	
73	700 MHz Band	261	WY-CMA215-B	Chico, CA	373000.00	279750.00	Triad 700, LLC	82	Cellco Partnership d/b/a Verizon Wireless	23	366000.00	 	
73	700 MHz Band	261	WY-CMA216-B	Janesville-Beloit, WI	546000.00	409500.00	King Street Wireless, L.P.	43	PCS Partners, L.P.	42	528000.00	 	
73	700 MHz Band	261	WY-CMA217-B	Anderson, IN	1094000.00	1094000.00	Cellco Partnership d/b/a Verizon Wireless	19	King Street Wireless, L.P.	17	1018000.00	 	
73	700 MHz Band	261	WY-CMA218-B	Wilmington, NC	1768000.00	1326000.00	King Street Wireless, L.P.	22	Alltel Corporation	21	1607000.00	 	
73	700 MHz Band	261	WY-CMA219-B	Monroe, LA	1729000.00	1729000.00	CenturyTel Broadband Wireless LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	1573000.00	 	
73	700 MHz Band	261	WY-CMA220-B	Abilene, TX	641000.00	641000.00	Central Texas Telephone Investments, LP	27	Cellco Partnership d/b/a Verizon Wireless	26	583000.00	 	
73	700 MHz Band	261	WY-CMA221-B	Fargo-Moorehead, ND-MN	0	0	FCC	0	Alltel Corporation	21	1412000.00	 	
73	700 MHz Band	261	WY-CMA222-B	Tuscaloosa, AL	429000.00	429000.00	CenturyTel Broadband Wireless LLC	139	Cellular South Licenses, Inc.	138	413000.00	 	
73	700 MHz Band	261	WY-CMA223-B	Elkhart-Goshen, IN	724000.00	543000.00	King Street Wireless, L.P.	29	Cavalier Wireless, LLC	28	658000.00	 	
73	700 MHz Band	261	WY-CMA224-B	Bangor, ME	680000.00	510000.00	King Street Wireless, L.P.	21	AT&T Mobility Spectrum, LLC	20	618000.00	 	
73	700 MHz Band	261	WY-CMA225-B	Altoona, PA	210000.00	157500.00	Buffalo-Lake Erie Wireless Systems Co., L.L.C.	104	PCS Partners, L.P.	103	202000.00	 	
73	700 MHz Band	261	WY-CMA226-B	Florence, AL	205000.00	205000.00	Cellular South Licenses, Inc.	46	Miller, David	45	198000.00	 	
73	700 MHz Band	261	WY-CMA227-B	Anderson, SC	406000.00	345100.00	West Carolina Communications, LLC	21	Cavalier Wireless, LLC	20	358000.00	 	
73	700 MHz Band	261	WY-CMA228-B	Vineland-Millville, NJ	313000.00	313000.00	AT&T Mobility Spectrum, LLC	70	PCS Partners, L.P.	69	300000.00	 	
73	700 MHz Band	261	WY-CMA229-B	Medford, OR	775000.00	581250.00	King Street Wireless, L.P.	27	Cellco Partnership d/b/a Verizon Wireless	26	705000.00	 	
73	700 MHz Band	261	WY-CMA230-B	Decatur, IL	617000.00	462750.00	King Street Wireless, L.P.	29	Cavalier Wireless, LLC	28	561000.00	 	
73	700 MHz Band	261	WY-CMA231-B	Mansfield, OH	407000.00	305250.00	Triad 700, LLC	21	AT&T Mobility Spectrum, LLC	20	374000.00	 	
73	700 MHz Band	261	WY-CMA232-B	Eau Claire, WI	6920000.00	5190000.00	King Street Wireless, L.P.	27	Cellco Partnership d/b/a Verizon Wireless	26	6351000.00	 	
73	700 MHz Band	261	WY-CMA233-B	Wichita Falls, TX	639000.00	479250.00	King Street Wireless, L.P.	26	Cellco Partnership d/b/a Verizon Wireless	25	581000.00	 	
73	700 MHz Band	261	WY-CMA234-B	Athens, GA	581000.00	581000.00	Cellco Partnership d/b/a Verizon Wireless	26	Cavalier Wireless, LLC	25	521000.00	 	
73	700 MHz Band	261	WY-CMA235-B	Petersburg-Hopewell, VA	96000.00	81600.00	Broadband Wireless Unlimited, LLC	96	Cavalier Wireless, LLC	95	92000.00	 	
73	700 MHz Band	261	WY-CMA236-B	Muncie, IN	381000.00	381000.00	I-700, LLC	107	Iowa Intelegra Consortium, LLC	76	374000.00	 	
73	700 MHz Band	261	WY-CMA237-B	Tyler, TX	1270000.00	1270000.00	Cellco Partnership d/b/a Verizon Wireless	22	Alltel Corporation	21	1154000.00	 	
73	700 MHz Band	261	WY-CMA238-B	Sharon, PA	350000.00	262500.00	Triad 700, LLC	19	USA Choice Internet Services Company LLC	18	324000.00	 	
73	700 MHz Band	261	WY-CMA239-B	Joplin, MO	2314000.00	2314000.00	CenturyTel Broadband Wireless LLC	18	King Street Wireless, L.P.	17	1928000.00	 	
73	700 MHz Band	261	WY-CMA240-B	Texarkana, AR-TX	942000.00	942000.00	Cellco Partnership d/b/a Verizon Wireless	22	Alltel Corporation	19	893000.00	 	
73	700 MHz Band	261	WY-CMA241-B	Pueblo, CO	488000.00	488000.00	Cellco Partnership d/b/a Verizon Wireless	24	N.E. Colorado Wireless Technologies, Inc.	22	456000.00	 	
73	700 MHz Band	261	WY-CMA242-B	Olympia, WA	1267000.00	1076950.00	Whidbey Telephone Company	29	Cellco Partnership d/b/a Verizon Wireless	19	1207000.00	 	
73	700 MHz Band	261	WY-CMA243-B	Greeley, CO	1657000.00	1657000.00	N.E. Colorado Wireless Technologies, Inc.	26	Cellco Partnership d/b/a Verizon Wireless	25	1466000.00	 	
73	700 MHz Band	261	WY-CMA244-B	Kenosha, WI	2884000.00	2163000.00	King Street Wireless, L.P.	49	AT&T Mobility Spectrum, LLC	48	2773000.00	 	
73	700 MHz Band	261	WY-CMA245-B	Ocala, FL	6117000.00	6117000.00	Cox Wireless, Inc.	27	Cellco Partnership d/b/a Verizon Wireless	26	5560000.00	 	
73	700 MHz Band	261	WY-CMA246-B	Dothan, AL	2129000.00	2129000.00	CenturyTel Broadband Wireless LLC	41	Cellular South Licenses, Inc.	40	2059000.00	 	
73	700 MHz Band	261	WY-CMA247-B	Lafayette, IN	905000.00	678750.00	King Street Wireless, L.P.	87	I-700, LLC	86	870000.00	 	
73	700 MHz Band	261	WY-CMA248-B	Burlington, VT	1597000.00	1357450.00	Vermont Telephone Company, Inc.	21	AT&T Mobility Spectrum, LLC	15	1520000.00	 	
73	700 MHz Band	261	WY-CMA249-B	Anniston, AL	287000.00	287000.00	Cellular South Licenses, Inc.	39	Cavalier Wireless, LLC	38	276000.00	 	
73	700 MHz Band	261	WY-CMA250-B	Bloomington-Normal, IL	1573000.00	1179750.00	King Street Wireless, L.P.	105	Iowa Intelegra Consortium, LLC	104	1513000.00	 	
73	700 MHz Band	261	WY-CMA251-B	Williamsport, PA	371000.00	371000.00	AT&T Mobility Spectrum, LLC	99	PCS Partners, L.P.	98	357000.00	 	
73	700 MHz Band	261	WY-CMA252-B	Pascagoula, MI	237000.00	237000.00	Cellular South Licenses, Inc.	73	CenturyTel Broadband Wireless LLC	59	232000.00	 	
73	700 MHz Band	261	WY-CMA253-B	Sioux City, IA-NE	3623000.00	2717250.00	King Street Wireless, L.P.	21	AT&T Mobility Spectrum, LLC	20	3230000.00	 	
73	700 MHz Band	261	WY-CMA254-B	Redding, CA	308000.00	231000.00	King Street Wireless, L.P.	100	Triad 700, LLC	99	298000.00	 	
73	700 MHz Band	261	WY-CMA255-B	Odessa, TX	759000.00	759000.00	Cellco Partnership d/b/a Verizon Wireless	26	Central Texas Telephone Investments, LP	25	692000.00	 	
73	700 MHz Band	261	WY-CMA256-B	Charlottesville, VA	455000.00	341250.00	King Street Wireless, L.P.	21	Cavalier Wireless, LLC	20	419000.00	 	
73	700 MHz Band	261	WY-CMA257-B	Hagerstown, MD	308000.00	231000.00	King Street Wireless, L.P.	27	Cellco Partnership d/b/a Verizon Wireless	26	280000.00	 	
73	700 MHz Band	261	WY-CMA258-B	Jacksonville, NC	719000.00	539250.00	King Street Wireless, L.P.	65	Star Telephone Membership Corporation	64	694000.00	 	
73	700 MHz Band	261	WY-CMA259-B	State College, PA	165000.00	123750.00	Buffalo-Lake Erie Wireless Systems Co., L.L.C.	104	PCS Partners, L.P.	103	159000.00	 	
73	700 MHz Band	261	WY-CMA260-B	Lawton, OK	764000.00	573000.00	King Street Wireless, L.P.	27	Cellco Partnership d/b/a Verizon Wireless	26	695000.00	 	
73	700 MHz Band	261	WY-CMA261-B	Albany, GA	557000.00	557000.00	AT&T Mobility Spectrum, LLC	207	PCS Partners, L.P.	206	536000.00	 	
73	700 MHz Band	261	WY-CMA262-B	Danville, VA	123000.00	92250.00	King Street Wireless, L.P.	21	Cavalier Wireless, LLC	20	112000.00	 	
73	700 MHz Band	261	WY-CMA263-B	Wausau, WI	3907000.00	2930250.00	King Street Wireless, L.P.	22	CenturyTel Broadband Wireless LLC	21	3551000.00	 	
73	700 MHz Band	261	WY-CMA264-B	Florence, SC	2355000.00	2355000.00	AT&T Mobility Spectrum, LLC	21	FTC Management Group, Inc.	20	2097000.00	 	
73	700 MHz Band	261	WY-CMA265-B	Fort Walton Beach, FL	1554000.00	1554000.00	Cellular South Licenses, Inc.	76	Cox Wireless, Inc.	21	1524000.00	 	
73	700 MHz Band	261	WY-CMA266-B	Glens Falls, NY	400000.00	300000.00	Worldcall Inc.	63	PCS Partners, L.P.	30	392000.00	 	
73	700 MHz Band	261	WY-CMA267-B	Sioux Falls, SD	2938000.00	2203500.00	KTC AWS Limited Partnership	22	AT&T Mobility Spectrum, LLC	21	2448000.00	 	
73	700 MHz Band	261	WY-CMA268-B	Billings, MT	1564000.00	1564000.00	Cellco Partnership d/b/a Verizon Wireless	24	Alltel Corporation	21	1483000.00	 	
73	700 MHz Band	261	WY-CMA269-B	Cumberland, MD-WV	517000.00	387750.00	King Street Wireless, L.P.	24	Cellco Partnership d/b/a Verizon Wireless	23	470000.00	 	
73	700 MHz Band	261	WY-CMA270-B	Bellingham, WA	3314000.00	3314000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	3013000.00	 	
73	700 MHz Band	261	WY-CMA271-B	Kokomo, IN	624000.00	624000.00	AT&T Mobility Spectrum, LLC	79	Iowa Intelegra Consortium, LLC	78	600000.00	 	
73	700 MHz Band	261	WY-CMA272-B	Gadsden, AL	502000.00	502000.00	Cellular South Licenses, Inc.	21	AT&T Mobility Spectrum, LLC	18	476000.00	 	
73	700 MHz Band	261	WY-CMA273-B	Kankakee, IL	493000.00	493000.00	I-700, LLC	56	Club 42 CM Limited Partnership	55	471000.00	 	
73	700 MHz Band	261	WY-CMA274-B	Yuba City, CA	985000.00	985000.00	QUALCOMM Incorporated	214	Triad 700, LLC	213	947000.00	 	
73	700 MHz Band	261	WY-CMA275-B	St. Joseph, MO	1963000.00	1472250.00	King Street Wireless, L.P.	27	Cellco Partnership d/b/a Verizon Wireless	26	1802000.00	 	
73	700 MHz Band	261	WY-CMA276-B	Grand Forks, ND-MN	0	0	FCC	0	Alltel Corporation	21	1042000.00	 	
73	700 MHz Band	261	WY-CMA277-B	Sheboygan, WI	7294000.00	5470500.00	King Street Wireless, L.P.	27	Cellco Partnership d/b/a Verizon Wireless	26	6631000.00	 	
73	700 MHz Band	261	WY-CMA278-B	Columbia, MO	1215000.00	1215000.00	CenturyTel Broadband Wireless LLC	19	AT&T Mobility Spectrum, LLC	18	1080000.00	 	
73	700 MHz Band	261	WY-CMA279-B	Lewiston-Auburn, ME	220000.00	165000.00	King Street Wireless, L.P.	217	PCS Partners, L.P.	216	212000.00	 	
73	700 MHz Band	261	WY-CMA280-B	Burlington, NC	489000.00	366750.00	King Street Wireless, L.P.	193	PCS Partners, L.P.	192	470000.00	 	
73	700 MHz Band	261	WY-CMA281-B	Laredo, TX	483000.00	483000.00	Cellco Partnership d/b/a Verizon Wireless	18	AT&T Mobility Spectrum, LLC	15	432000.00	 	
73	700 MHz Band	261	WY-CMA282-B	Bloomington, IN	567000.00	425250.00	Triad 700, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	520000.00	 	
